Date,Trial,ID,Sex,Status,Aggression dur,Aggression n,Sniff dur,Sniff n,Total time w male,TimeinZoneAlone,Sniff dur w swat,SniffNOAGG
2202020,1511472,FemaleR,F,DESLORELIN,18.505,9,51.002,12,121.979,249.077,14.56,36.442
2202020,1511472,FemaleL,F,SALINE,1.748,4,50.535,20,123.832,397.398,1.498,49.037
2202020,1511472,Male,M,SALINE,0,0,59.994,19,123.832,538.621,0,59.994
2202020,1511472,Male,M,DESLORELIN,7.003,3,51.286,12,121.979,504.807,5.752,45.534
2142020,1510210,FemaleR,F,DESLORELIN,16.284,9,85.747,11,329.928,981.209,16.284,69.463
2142020,1510210,FemaleL,F,SALINE,36.173,24,246.486,34,436.735,1387.678,33.553,212.933
2142020,1510210,Male,M,SALINE,0,0,184.985,25,436.735,519.066,0,184.985
2142020,1510210,Male,M,DESLORELIN,4.751,1,126.02,18,329.928,500.306,4.751,121.269
3162020,1510886,FemaleR,F,DESLORELIN,4.509,3,5.549,4,78.528,251.512,1.267,4.282
3162020,1510886,FemaleL,F,SALINE,0.769,1,11.096,5,132.274,352.778,0.268,10.828
3162020,1510886,Male,M,SALINE,3.516,4,5.497,3,132.274,534.572,0.477,5.02
3162020,1510886,Male,M,DESLORELIN,4.268,3,9.282,7,78.528,518.435,1.514,7.768
6302020,1511941,FemaleR,F,SALINE,0.5,1,61.48,14,321.646,1739.462,0.5,60.98
6302020,1511941,FemaleL,F,DESLORELIN,10.014,8,80.713,32,196.511,432.06,9.511,71.202
6302020,1511941,Male,M,DESLORELIN,18.003,8,101.091,31,196.511,806.263,15.507,85.584
6302020,1511941,Male,M,SALINE,3.251,1,145.778,32,321.646,324.647,3.251,142.527
2212020,1512013,FemaleR,F,DESLORELIN,0.262,2,1.512,1,2.252,1378.07,0.012,1.5
2212020,1512013,FemaleL,F,SALINE,0.772,3,233.899,52,951.217,1059.18,0.772,233.127
2212020,1512013,Male,M,SALINE,0,0,110.647,34,951.217,1645.54,0,110.647
2212020,1512013,Male,M,DESLORELIN,0,0,1.5,1,2.252,6.001,0,1.5
6102020,1509355,FemaleR,F,SALINE,17.246,17,82.497,40,203.638,598.799,7,75.497
6102020,1509355,FemaleL,F,DESLORELIN,9.997,16,112.823,18,303.448,753.195,9.997,102.826
6102020,1509355,Male,M,DESLORELIN,0.499,2,92.5,14,303.448,662.162,0,92.5
6102020,1509355,Male,M,SALINE,0,0,58.741,26,203.638,367.642,0,58.741
3062020,1502020,FemaleR,F,SALINE,5.999,9,90.297,54,245.543,1760.651,4.748,85.549
3062020,1502020,FemaleL,F,DESLORELIN,0.999,2,3.513,2,4.568,6.015,0.999,2.514
3062020,1502020,Male,M,DESLORELIN,0.997,3,4.763,3,4.568,768.642,0.997,3.766
3062020,1502020,Male,M,SALINE,3.5,7,60.486,36,245.543,247.792,3,57.486
3162020,1507783,FemaleR,F,DESLORELIN,11.25,15,49.005,18,168.149,980.55,9.753,39.252
3162020,1507783,FemaleL,F,SALINE,15.247,20,123.012,44,385.911,1079.223,13.246,109.766
3162020,1507783,Male,M,SALINE,1.247,4,95.597,48,385.911,498.494,0.749,94.848
3162020,1507783,Male,M,DESLORELIN,2.333,5,46.554,21,168.149,238.319,2.333,44.221
2292020,1512441,FemaleR,F,SALINE,2.248,3,44.35,24,234.562,1437.21,0.98,43.37
2292020,1512441,FemaleL,F,DESLORELIN,1,1,58.999,21,263.337,607.83,1,57.999
2292020,1512441,Male,M,DESLORELIN,2.109,7,89.636,34,263.337,700.054,1.86,87.776
2292020,1512441,Male,M,SALINE,0.499,1,39.25,16,234.562,281.021,0.499,38.751
7022020,1513924,FemaleR,F,SALINE,3.749,8,67.483,18,216.33,706.924,3.5,63.983
7022020,1513924,FemaleL,F,DESLORELIN,13.751,12,101.051,26,236.696,729.714,10.252,90.799
7022020,1513924,Male,M,DESLORELIN,10.998,13,75.243,16,236.696,402.325,10.702,64.541
7022020,1513924,Male,M,SALINE,2.003,3,57.747,20,216.33,468.553,2.003,55.744
3162020,1510566,FemaleR,F,SALINE,17.002,31,147.202,29,430.235,1729.608,14.75,132.452
3162020,1510566,FemaleL,F,DESLORELIN,1.25,2,25.558,6,40.644,264.839,1.25,24.308
3162020,1510566,Male,M,DESLORELIN,3.26,4,20.273,11,40.644,562.545,2.761,17.512
3162020,1510566,Male,M,SALINE,14.502,23,138.692,38,430.235,444.235,13.455,125.237
3172020,1508819,FemaleR,F,SALINE,0,0,11.249,5,89.641,259.634,0,11.249
3172020,1508819,FemaleL,F,DESLORELIN,13.507,8,48.987,25,169.033,1084.347,7.748,41.239
3172020,1508819,Male,M,DESLORELIN,8.262,14,61.275,33,169.033,223.562,7.761,53.514
3172020,1508819,Male,M,SALINE,0.501,1,11.256,7,89.641,1019.404,0.501,10.755
2202020,1512653,FemaleR,F,DESLORELIN,33.558,50,136.04,37,293.337,811.033,31.055,104.985
2202020,1512653,FemaleL,F,SALINE,0.251,1,50.986,17,90.829,233.605,0.251,50.735
2202020,1512653,Male,M,SALINE,2.658,5,27.752,7,90.829,677.338,0.998,26.754
2202020,1512653,Male,M,DESLORELIN,17.13,29,117.29,36,293.337,385.345,7.874,109.416
7102020,1510959,FemaleR,F,SALINE,0,0,39.009,8,282.006,954.392,0,39.009
7102020,1510959,FemaleL,F,SALINE,0,0,77.06,25,173.492,599.056,0,77.06
7102020,1510959,Male,M,SALINE,19.036,6,57.31,12,173.492,557.119,18.692,38.618
7102020,1510959,Male,M,SALINE,2.02,3,75.476,11,282.006,474.297,2.02,73.456
3172020,1509607,FemaleR,F,SALINE,0,0,25.256,6,73.634,414.647,0,25.256
3172020,1509607,FemaleL,F,DESLORELIN,4.496,3,41.497,12,193.115,564.731,4.496,37.001
3172020,1509607,Male,M,DESLORELIN,1.256,3,24.495,6,193.115,582.669,1.001,23.494
3172020,1509607,Male,M,SALINE,0,0,20.748,8,73.634,350.806,0,20.748
3062021,1509057,FemaleR,F,DESLORELIN,12.988,22,102.261,32,233.163,598.062,12.238,90.023
3062021,1509057,FemaleL,F,SALINE,0.499,1,52.247,21,197.895,497.749,0.499,51.748
3062021,1509057,Male,M,SALINE,1.748,3,85.649,17,197.895,508.294,1.748,83.901
3062021,1509057,Male,M,DESLORELIN,13.477,20,119.296,37,233.163,448.772,13.477,105.819
7102020,1510139,FemaleR,F,SALINE,8.301,25,83.853,14,454.967,1530.791,7.301,76.552
7102020,1510139,FemaleL,F,DESLORELIN,14.846,13,65.818,23,217.777,812.111,14.846,50.972
7102020,1510139,Male,M,DESLORELIN,6.618,12,75.137,28,217.777,424.91,6.618,68.519
7102020,1510139,Male,M,SALINE,3.997,14,89.072,17,454.967,484.323,3.997,85.075
7022020,1512112,FemaleR,F,SALINE,12.868,40,117.156,61,695.318,1680.222,12.364,104.792
7022020,1512112,FemaleL,F,DESLORELIN,0,0,6.656,5,47.771,730.281,0,6.656
7022020,1512112,Male,M,DESLORELIN,0,0,4.997,5,47.771,118.863,0,4.997
7022020,1512112,Male,M,SALINE,3.492,9,196.685,70,695.318,733.115,3.492,193.193
